snippet,headline__main,year_mo,compound,negative,neutral,positive
"The couple, who met as law students at the University of Chicago, are married in Galveston, Tex.","Marianna Mancusi-Ungaro, Nicholas Chapleau",201201,0,0,1,0
"The couple, graduates of Colby College and law students at William and Mary, are married in Scottsdale, Ariz.",Bonnie Foley and Jay Mangold Jr.,201201,0,0,1,0
The couple met when both were singing in a church choir in San Francisco.,"Gregory Brown, Linton Stables",201201,0,0,1,0
A high school counselor and an editor marry in Massachusetts.,Susan Galereave and Kiki Zeldes,201201,0,0,1,0
The couple play together in a band.,"Michelle Girolami, Spencer Cohen",201201,0.34,0,0.676,0.324
The couple are married in Detroit.,"Sarah Pusey, Kevin Husson",201201,0,0,1,0
"Lottery numbers for Dec. 31, 2011, for New York, New Jersey and Connecticut.",Lottery Numbers,201201,0,0,1,0
"The rookie Josh Harrellson had 14 points and 12 rebounds in his first start, and Tyson Chandler, a defensive specialist, had 22 points and 7 rebounds.","Stoudemire Sits, but a Rookie and a Veteran Stand Tall",201201,0.0258,0,0.954,0.046
"The dispute, mostly about pricing, keeps 1.7 million cable homes from seeing Knicks, Rangers, Islanders, Devils and Buffalo Sabres games.",MSG Leaves Time Warner Systems,201201,-0.7506,0.262,0.738,0
"Adam Henrique, a 21-year-old center playing on a line with Zach Parise and Ilya Kovalchuk, is off to a strong start with 10 goals and 18 assists.",Devils Rookie Henrique Settling In Between Two Stars,201201,0.6249,0,0.812,0.188
"Corrections appearing in print on January 1, 2012.",Corrections: January 1,201201,0,0,1,0
Onterio McCalebb rushed for 109 yards and scored 2 touchdowns as Auburn overcame the loss of two key players to win the Chick-fil-A Bowl.,Auburn Dominates Virginia; Utah Wins,201201,0.3612,0.085,0.775,0.14
Ilya Kovalchuk scored once and had two assists and Martin Brodeur was dazzling in the goal as the Devils beat the Penguins.,Kovalchuk Scores on Penalty Shot as the Devils Defeat the Penguins,201201,-0.5719,0.15,0.85,0
"Bernie Parent, the great Flyers goalie of the 1970s, made several excellent stops in the Flyers alumni’s 3-1 victory against the Rangers at Citizens Bank Park.","Playing Five Minutes, Old Goalie Steals Show",201201,0.802,0.049,0.71,0.241
"The special agent for the Bureau of Alcohol, Tobacco, Firearms and Explosives was fatally shot after confronting a robbery suspect outside a pharmacy.","Intervening After Robbery, an Off-Duty A.T.F. Agent Is Killed",201201,-0.6486,0.289,0.614,0.097
"When New York’s OTB shut down, Ivonne Diaz had worked there 24 years and 4 months, falling just short of the 25-year minimum required to collect a pension.","Losing Her Job, Electricity and Prescriptions",201201,-0.1531,0.06,0.94,0
Coach Will Muschamp said starting right tackle Matt Patchan injured his upper back during practice and had been ruled out for Monday’s game.,Florida Starting Tackle Will Miss Gator Bowl,201201,-0.4019,0.109,0.891,0
"As her band the Little Willies prepares to release its second album, Norah Jones talks about the music that influenced her.",Norah Jones and the Music She Loves,201201,0,0,1,0
"Some car buyers at a northeast Ohio car dealership will receive their vehicles free, except for taxes, if the Cleveland Browns keep the Pittsburgh Steelers scoreless in Sunday’s game at Cleveland.",Free Cars if Browns Can Shut Out Steelers,201201,0.5106,0,0.898,0.102
